compound_id,smiles
ZINC000000394800,CCOC(=O)c1ccc(O)c(OC)c1
ZINC000000395642,CC(C)(O)CC(=O)O
ZINC000000395646,COc1ccc(CO)cc1O
ZINC000000395673,O=C(O)Cc1cccc(O)c1
ZINC000000395674,COC(=O)Cc1ccc(O)cc1
ZINC000000396094,COC(=O)c1c(O)cccc1O
ZINC000000402227,OC[C@@H](O)Cc1ccc2c(c1)OCO2
ZINC000000402228,OC[C@H](O)Cc1ccc2c(c1)OCO2
ZINC000000402623,Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12
ZINC000000402671,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2
ZINC000000402766,CN1C(=O)CC[C@H]1c1cccnc1
ZINC000000403022,COc1ccc2[nH]c(=O)oc2c1
ZINC000000403074,Cn1cncc1CCN
ZINC000000403283,NC[C@@H](O)c1ccccc1
ZINC000000403284,NC[C@H](O)c1ccccc1
ZINC000000403588,CNC[C@H](O)c1ccc(O)cc1
ZINC000000404370,C/C=C/c1ccc(OC)c(OC)c1
ZINC000000405113,COc1cc(O)cc(OC)c1OC
ZINC000000405329,COC(=O)c1ccc(O)c(O)c1
ZINC000000439984,O=C(O)c1ccccc1C(=O)c1ccc(O)cc1O
ZINC000000477938,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12
ZINC000000477939,CC(C)(O)[C@@H](O)COc1c2ccoc2cc2oc(=O)ccc12
ZINC000000480806,COc1ccc(C[C@H](O)CO)cc1OC
ZINC000000480807,COc1ccc(C[C@@H](O)CO)cc1OC
ZINC000000481559,COc1cc(O)c(C)c(O)c1C(C)=O
ZINC000000491073,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
ZINC000000506563,C[C@H](O)CCc1ccc(O)cc1
ZINC000000506564,C[C@@H](O)CCc1ccc(O)cc1
ZINC000000517261,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O
ZINC000000518097,COc1c2ccoc2nc2c(O)cccc12
ZINC000000518554,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000000518797,CC1(C)O[C@@H]1COc1c2occc2cc2ccc(=O)oc12
ZINC000000519621,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O
ZINC000000519823,COc1ccc2c(c1O)-c1c(O)c(OC)cc3c1[C@H](C2)[N+](C)(C)CC3
